Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 4,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2024 - 4,1,1,21.0,16.0,76.0,60.0,56.0,40.0,10.0,12.0,,,4.0,2.0,2.0,1.0,,,,4.0,1.0,3.0,,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,
2024 - 4,1,3,19.0,17.0,48.0,58.0,27.0,21.0,10.0,3.0,2.0,7.0,1.0,6.0,3.0,2.0,3.0,2.0,1.0,,1.0,,,1.0,2.0,5.0,,,,2.0,1.0,2.0,,1.0
2024 - 4,1,4,,,15.0,16.0,32.0,24.0,7.0,6.0,3.0,8.0,7.0,9.0,1.0,11.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,,3.0,1.0,1.0,,2.0,1.0,2.0
2024 - 4,1,5,11.0,16.0,43.0,27.0,8.0,6.0,1.0,2.0,3.0,1.0,2.0,3.0,,3.0,,3.0,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,4.0
2024 - 4,1,6,25.0,14.0,34.0,21.0,16.0,6.0,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,,3.0,,1.0,,2.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,2.0,
2024 - 4,1,7,4.0,2.0,5.0,5.0,2.0,,3.0,3.0,5.0,6.0,6.0,8.0,1.0,2.0,1.0,2.0,,1.0,2.0,3.0,7.0,1.0,,5.0,4.0,1.0,3.0,6.0,6.0,7.0,18.0,10.0
2024 - 4,1,10,,,1.0,,1.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,,3.0,3.0,5.0,,2.0,3.0,3.0,2.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,2.0,7.0
2024 - 4,1,8,,,1.0,,1.0,3.0,3.0,4.0,7.0,4.0,3.0,8.0,1.0,5.0,6.0,9.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,8.0,2.0,,1.0,1.0,1.0,3.0,,3.0
2024 - 4,1,17,,1.0,15.0,8.0,9.0,6.0,7.0,2.0,3.0,6.0,6.0,1.0,3.0,,,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,3.0,2.0,3.0,,,1.0,,1.0
2024 - 4,1,33,,,,,4.0,1.0,3.0,7.0,2.0,5.0,2.0,3.0,2.0,3.0,,3.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,,1.0,2.0,2.0,2.0
2024 - 4,2,11,22.0,25.0,71.0,68.0,33.0,17.0,6.0,3.0,6.0,5.0,2.0,4.0,,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,,1.0,,1.0,2.0,3.0,,5.0
2024 - 4,2,34,30.0,21.0,59.0,53.0,23.0,9.0,2.0,6.0,6.0,4.0,1.0,4.0,2.0,2.0,1.0,3.0,,2.0,,1.0,1.0,2.0,,1.0,2.0,3.0,3.0,2.0,2.0,4.0,7.0,13.0
2024 - 4,2,12,4.0,6.0,22.0,15.0,15.0,23.0,7.0,11.0,4.0,11.0,2.0,11.0,2.0,15.0,1.0,9.0,3.0,4.0,,6.0,1.0,7.0,1.0,3.0,1.0,2.0,,3.0,2.0,3.0,2.0,4.0
2024 - 4,2,35,,,3.0,,6.0,3.0,2.0,6.0,8.0,6.0,6.0,5.0,1.0,8.0,3.0,7.0,3.0,5.0,1.0,1.0,1.0,4.0,,4.0,1.0,4.0,,,1.0,2.0,,1.0
2024 - 4,2,20,,,12.0,7.0,21.0,21.0,6.0,3.0,4.0,,,3.0,1.0,2.0,,,,1.0,,,,,,1.0,,,2.0,,,,,
2024 - 4,2,17,,,14.0,9.0,9.0,7.0,8.0,2.0,3.0,5.0,5.0,1.0,2.0,,,2.0,1.0,,3.0,1.0,2.0,,1.0,2.0,3.0,,2.0,,,1.0,,
2024 - 4,2,16,4.0,8.0,13.0,10.0,13.0,5.0,5.0,4.0,2.0,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,
2024 - 4,2,36,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,2.0,4.0,,3.0,3.0,7.0,3.0,7.0,1.0,6.0,2.0,4.0,3.0,6.0,3.0,,2.0,4.0
2024 - 4,2,14,8.0,6.0,8.0,9.0,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2024 - 4,2,37,1.0,,5.0,4.0,,4.0,4.0,1.0,3.0,2.0,1.0,1.0,,1.0,,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,,,1.0,2.0
2024 - 4,3,23,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,1.0,1.0
2024 - 4,3,38,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,
2024 - 4,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0
2024 - 4,3,21,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
2024 - 4,3,39,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2024 - 4,3,40,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2024 - 4,3,41,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 4,3,42,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2024 - 4,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2024 - 4,3,44,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 8,1,1,22.0,14.0,57.0,40.0,30.0,32.0,21.0,15.0,4.0,8.0,7.0,2.0,1.0,6.0,2.0,2.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,3.0
2023 - 8,1,3,6.0,10.0,34.0,29.0,11.0,17.0,3.0,5.0,2.0,4.0,2.0,,1.0,3.0,1.0,,2.0,,,1.0,,2.0,3.0,,,2.0,1.0,,,3.0,1.0,3.0
2023 - 8,1,9,34.0,13.0,24.0,20.0,12.0,6.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,
2023 - 8,1,4,,,8.0,7.0,14.0,4.0,6.0,3.0,4.0,7.0,4.0,13.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,3.0,2.0,,,1.0,1.0,2.0,3.0,1.0
2023 - 8,1,7,8.0,3.0,9.0,8.0,6.0,2.0,,4.0,1.0,3.0,2.0,4.0,,3.0,,1.0,,1.0,,5.0,,1.0,2.0,2.0,9.0,3.0,6.0,3.0,6.0,2.0,10.0,9.0
2023 - 8,1,8,,,4.0,2.0,4.0,6.0,4.0,5.0,3.0,6.0,2.0,7.0,1.0,4.0,1.0,3.0,,4.0,2.0,5.0,4.0,2.0,1.0,2.0,,2.0,1.0,1.0,,5.0,2.0,7.0
2023 - 8,1,5,21.0,14.0,24.0,11.0,3.0,4.0,,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,1.0
2023 - 8,1,10,,,,,1.0,,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,,3.0,1.0,1.0,1.0,5.0,6.0,4.0,5.0,2.0,3.0,6.0,4.0,9.0,,2.0,1.0,3.0
2023 - 8,1,45,,4.0,12.0,7.0,6.0,1.0,6.0,3.0,2.0,3.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,2.0,,,2.0,5.0
2023 - 8,1,17,,,7.0,4.0,9.0,4.0,4.0,3.0,3.0,,5.0,2.0,2.0,,1.0,,3.0,,2.0,,2.0,,3.0,,1.0,,,,3.0,1.0,2.0,
2023 - 8,2,46,23.0,19.0,37.0,20.0,4.0,5.0,1.0,3.0,1.0,,1.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,7.0,1.0,2.0,1.0,,2.0,4.0
2023 - 8,2,12,5.0,3.0,7.0,8.0,8.0,11.0,3.0,4.0,4.0,11.0,2.0,11.0,1.0,6.0,2.0,1.0,2.0,3.0,,1.0,1.0,4.0,1.0,1.0,,2.0,2.0,4.0,1.0,2.0,1.0,2.0
2023 - 8,2,47,27.0,11.0,36.0,19.0,10.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023 - 8,2,17,,,11.0,7.0,10.0,3.0,6.0,3.0,2.0,,5.0,2.0,2.0,,2.0,,4.0,,3.0,,3.0,,3.0,,1.0,,,,2.0,1.0,1.0,
2023 - 8,2,15,4.0,1.0,14.0,11.0,6.0,6.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,1.0,,1.0
2023 - 8,2,48,,,2.0,,8.0,6.0,5.0,8.0,2.0,6.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
2023 - 8,2,49,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,4.0,1.0,2.0,4.0,,5.0,,3.0,7.0
2023 - 8,2,35,,,1.0,,,1.0,3.0,2.0,,2.0,1.0,5.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,3.0,2.0,
2023 - 8,2,16,2.0,1.0,9.0,6.0,1.0,1.0,,1.0,,2.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0
2023 - 8,2,50,,,2.0,2.0,3.0,1.0,3.0,1.0,,2.0,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,3.0,,1.0,,2.0
2023 - 8,3,22,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0
2023 - 8,3,51,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,
2023 - 8,3,21,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,
2023 - 8,3,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023 - 8,3,53,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023 - 8,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023 - 8,3,55,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2023 - 8,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023 - 8,3,57,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023 - 8,3,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
2024 - 8,1,1,1.0,,51.0,37.0,51.0,36.0,37.0,28.0,14.0,10.0,12.0,8.0,7.0,4.0,1.0,4.0,1.0,,1.0,5.0,1.0,1.0,3.0,2.0,,1.0,,3.0,1.0,2.0,22.0,24.0
2024 - 8,1,7,1.0,,11.0,6.0,8.0,6.0,4.0,5.0,5.0,4.0,3.0,8.0,5.0,8.0,4.0,4.0,6.0,4.0,5.0,4.0,5.0,8.0,4.0,4.0,7.0,1.0,9.0,5.0,8.0,8.0,22.0,13.0
2024 - 8,1,3,1.0,,21.0,24.0,25.0,18.0,6.0,8.0,3.0,6.0,3.0,11.0,1.0,5.0,2.0,4.0,,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,10.0,8.0
2024 - 8,1,4,,,6.0,5.0,14.0,17.0,11.0,10.0,9.0,10.0,9.0,11.0,2.0,6.0,4.0,10.0,6.0,5.0,3.0,1.0,3.0,6.0,1.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0
2024 - 8,1,8,,,,,2.0,4.0,5.0,8.0,1.0,6.0,1.0,10.0,3.0,4.0,5.0,6.0,5.0,10.0,2.0,3.0,5.0,4.0,4.0,5.0,,1.0,2.0,2.0,,2.0,1.0,6.0
2024 - 8,1,6,1.0,1.0,23.0,17.0,5.0,9.0,,4.0,1.0,1.0,1.0,,1.0,,1.0,4.0,1.0,1.0,,2.0,,2.0,1.0,,,1.0,1.0,2.0,,1.0,14.0,7.0
2024 - 8,1,10,,,,,1.0,,3.0,3.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,2.0,2.0,7.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,6.0,5.0,5.0,2.0,9.0
2024 - 8,1,59,1.0,,12.0,13.0,8.0,8.0,7.0,8.0,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,5.0,5.0
2024 - 8,1,5,,1.0,22.0,8.0,6.0,2.0,5.0,2.0,5.0,1.0,1.0,,,4.0,3.0,,,2.0,,,,,,,,2.0,,,1.0,,10.0,7.0
2024 - 8,1,60,1.0,,13.0,6.0,7.0,6.0,,1.0,4.0,7.0,3.0,1.0,2.0,3.0,,3.0,,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,,,,,,7.0,3.0
2024 - 8,2,12,,,6.0,9.0,11.0,16.0,7.0,14.0,5.0,8.0,4.0,18.0,4.0,15.0,1.0,14.0,1.0,6.0,,8.0,1.0,3.0,2.0,5.0,,3.0,3.0,9.0,,4.0,5.0,9.0
2024 - 8,2,47,1.0,1.0,53.0,48.0,21.0,25.0,7.0,7.0,6.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,9.0,5.0
2024 - 8,2,11,1.0,1.0,39.0,17.0,15.0,9.0,6.0,7.0,4.0,2.0,1.0,3.0,1.0,5.0,2.0,2.0,,3.0,,3.0,3.0,2.0,,2.0,2.0,1.0,,1.0,1.0,,19.0,12.0
2024 - 8,2,35,,,,,2.0,,4.0,6.0,5.0,6.0,9.0,18.0,1.0,7.0,5.0,15.0,7.0,7.0,2.0,4.0,5.0,7.0,5.0,4.0,,3.0,4.0,1.0,3.0,2.0,1.0,10.0
2024 - 8,2,61,,,7.0,2.0,11.0,7.0,13.0,16.0,8.0,11.0,5.0,8.0,4.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,,,,,,2.0,
2024 - 8,2,62,,,,,,,,,,1.0,6.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,,4.0,5.0,1.0,,3.0,5.0,4.0,3.0,18.0,19.0
2024 - 8,2,14,1.0,,15.0,5.0,11.0,9.0,9.0,10.0,3.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,2.0,,,,,,,,,8.0,4.0
2024 - 8,2,16,,,9.0,7.0,7.0,4.0,7.0,4.0,4.0,3.0,4.0,4.0,2.0,,,3.0,,,,1.0,,3.0,,,,,,,,,4.0,6.0
2024 - 8,2,20,,,6.0,7.0,14.0,11.0,6.0,6.0,1.0,,7.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,
2024 - 8,2,17,,,5.0,3.0,12.0,8.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,3.0,,,,1.0,2.0,
2024 - 8,3,63,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,2.0,,1.0
2024 - 8,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
2024 - 8,3,22,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0
2024 - 8,3,51,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
2024 - 8,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
2024 - 8,3,65,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2024 - 8,3,52,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2024 - 8,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2024 - 8,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2024 - 12,1,1,25.0,18.0,97.0,76.0,101.0,118.0,89.0,63.0,45.0,30.0,25.0,27.0,9.0,9.0,2.0,7.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,,1.0,2.0,,1.0,2.0,1.0,7.0,3.0
2024 - 12,1,6,34.0,25.0,35.0,28.0,30.0,18.0,5.0,7.0,5.0,3.0,6.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,,1.0,,,,,,,3.0,9.0,5.0
2024 - 12,1,4,,,7.0,9.0,30.0,21.0,9.0,18.0,5.0,15.0,2.0,12.0,7.0,9.0,4.0,7.0,1.0,11.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0
2024 - 12,1,7,11.0,5.0,8.0,9.0,9.0,2.0,3.0,9.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,2.0,6.0,1.0,7.0,9.0,5.0,2.0,8.0,4.0,9.0,5.0,6.0,12.0,12.0,18.0
2024 - 12,1,3,5.0,3.0,34.0,26.0,30.0,26.0,16.0,8.0,2.0,9.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,1.0,3.0,3.0,,1.0,2.0,2.0,,,,,2.0,2.0
2024 - 12,1,59,2.0,7.0,16.0,9.0,17.0,12.0,9.0,6.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,,,2.0,1.0,,2.0,2.0,,,,,3.0
2024 - 12,1,8,,,,,4.0,4.0,6.0,5.0,5.0,12.0,2.0,12.0,6.0,11.0,3.0,12.0,,4.0,1.0,4.0,1.0,2.0,2.0,7.0,2.0,2.0,,3.0,1.0,1.0,1.0,2.0
2024 - 12,1,10,,,,,1.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,2.0,6.0,8.0,4.0,5.0,4.0,5.0,3.0,10.0,2.0,4.0,10.0,10.0
2024 - 12,1,17,,,9.0,5.0,21.0,4.0,10.0,,5.0,3.0,5.0,2.0,9.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,2.0
2024 - 12,1,60,5.0,6.0,16.0,13.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,,,3.0,2.0,,,,2.0,3.0,3.0,,5.0,4.0,3.0,3.0,,1.0,1.0,6.0,
2024 - 12,2,48,1.0,2.0,12.0,7.0,43.0,43.0,60.0,38.0,28.0,19.0,13.0,15.0,5.0,1.0,2.0,1.0,2.0,,2.0,,,,1.0,2.0,,1.0,,,,,1.0,
2024 - 12,2,47,36.0,32.0,50.0,52.0,14.0,12.0,5.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0
2024 - 12,2,68,,1.0,3.0,12.0,11.0,17.0,5.0,7.0,2.0,30.0,3.0,12.0,3.0,16.0,1.0,5.0,2.0,11.0,1.0,6.0,1.0,5.0,,7.0,1.0,5.0,,,2.0,,3.0,6.0
2024 - 12,2,46,10.0,5.0,17.0,14.0,16.0,6.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,,8.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0
2024 - 12,2,17,,,11.0,3.0,20.0,6.0,9.0,,3.0,3.0,4.0,2.0,6.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,3.0
2024 - 12,2,16,,2.0,8.0,10.0,12.0,7.0,12.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,
2024 - 12,2,69,,,,,,1.0,1.0,,,,,1.0,,1.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,8.0,3.0,4.0,5.0,4.0,4.0,5.0,,8.0,1.0,6.0
2024 - 12,2,62,,,,,,,,,,,4.0,4.0,3.0,1.0,1.0,,2.0,,2.0,1.0,2.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,4.0,9.0,13.0
2024 - 12,2,14,6.0,2.0,11.0,2.0,9.0,5.0,6.0,4.0,1.0,4.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,,3.0,2.0
2024 - 12,2,35,,,,,2.0,,1.0,1.0,,2.0,4.0,6.0,3.0,3.0,2.0,10.0,1.0,3.0,2.0,2.0,,7.0,3.0,3.0,,2.0,1.0,1.0,1.0,1.0,,1.0
2024 - 12,3,63,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,2.0
2024 - 12,3,51,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,2.0
2024 - 12,3,22,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,
2024 - 12,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
2024 - 12,3,70,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2024 - 12,3,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
2024 - 12,3,72,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2024 - 12,3,73,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2024 - 12,3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2024 - 12,3,75,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
